Name,Date,Title,Price,Condition,Link
fuzz55,4 minutes ago,MacBook Pro M2 13inch,"S$1,800",Like new,https://carousell.sg/p/macbook-pro-m2-13inch-1267909188/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=0
gg555jjj,1 hour ago,[Macbook Pro 16 inch],"S$1,200",Like new,https://carousell.sg/p/macbook-pro-16-inch-1267894306/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=1
milkchap,2 hours ago,"14"" MacBook Pro M1 Pro 1TB 16GB","S$2,000",Like new,https://carousell.sg/p/14-macbook-pro-m1-pro-1tb-16gb-1267041281/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=2
lwk140817,2 hours ago,(AppleCare+) 2023 M2 MacBook Air 15 Inch Starlight,"S$2,190",Brand new,https://carousell.sg/p/applecare-2023-m2-macbook-air-15-inch-starlight-1267887683/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=3
dollz_,2 hours ago,Macbook Air 2017,S$350,Lightly used,https://carousell.sg/p/macbook-air-2017-1267885392/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=5
dmitrim,2 hours ago,"Macbook Pro 16, 2019",S$999,Well used,https://carousell.sg/p/macbook-pro-16-2019-1267886941/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=6
snowflakelover,2 hours ago,URGENT MacBook Air M1 chip 2022,S$750,Like new,https://carousell.sg/p/urgent-macbook-air-m1-chip-2022-1267820594/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=7
soonleelew658,2 hours ago,BNIB macbook air 15inch,"S$1,500",Brand new,https://carousell.sg/p/bnib-macbook-air-15inch-1256883026/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=8
martiankadett,3 hours ago,MacBook Pro M1 Pro,"S$2,000",Lightly used,https://carousell.sg/p/macbook-pro-m1-pro-1267873742/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=9
plenilunegaze,4 hours ago,"MacBook Air (2017, 128 GB)",S$450,Lightly used,https://carousell.sg/p/macbook-air-2017-128-gb-1267864574/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=10
tl143,6 hours ago,MacBook Pro 2011,S$380,Lightly used,https://carousell.sg/p/macbook-pro-2011-1267844694/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=11
zzzdahzzz,3 hours ago,M1 Pro Macbook Pro 14 Inch M1 Pro,"S$1,800",Lightly used,https://carousell.sg/p/m1-pro-macbook-pro-14-inch-m1-pro-1267873075/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=13
gerghouse,6 hours ago,"MacBook Air 13.3"" M1 (2021)","S$1,400",Like new,https://carousell.sg/p/macbook-air-13-3-m1-2021-1267839159/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=14
werepair,4 hours ago,MacBook Pro with Touch Bar 2019 yr. A1990,"S$1,100",Like new,https://carousell.sg/p/macbook-pro-with-touch-bar-2019-yr-a1990-1267866108/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=15
lenni3,6 hours ago,MacBook Air 2013,S$450,Like new,https://carousell.sg/p/macbook-air-2013-1267835498/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=16
4gs88export,5 hours ago,Macbook Pro 14 M1 Pro 2021 (16GB/512GB Rom),"S$1,699",Lightly used,https://carousell.sg/p/macbook-pro-14-m1-pro-2021-16gb-512gb-rom-1222933465/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=17
4gs88export,5 hours ago,Macbook Pro 13 M2 2022 (8GB Ram/256GB),"S$1,399",Like new,https://carousell.sg/p/macbook-pro-13-m2-2022-8gb-ram-256gb-1223109444/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=18
4gs88export,5 hours ago,Macbook Air M1 2020 Gold (8GB/256GB),S$829,Lightly used,https://carousell.sg/p/macbook-air-m1-2020-gold-8gb-256gb-1222932906/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=19
ryan.ko,3 hours ago,"MacBook Pro (15-inch, 2017) i7 3.1 Ghz","S$1,000",Lightly used,https://carousell.sg/p/macbook-pro-15-inch-2017-i7-3-1-ghz-1267876734/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=20
xiiaohan8,7 hours ago,MacBook Air 2020 A2179 (13-inch retina display)(Intel i7),S$850,Lightly used,https://carousell.sg/p/macbook-air-2020-a2179-13-inch-retina-display-intel-i7-1267830831/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=21
4gs88export,5 hours ago,"Brand New Macbook Pro 13"" M1 2020 (8/512GB) ","S$1,599",Brand new,https://carousell.sg/p/brand-new-macbook-pro-13-m1-2020-8-512gb-1222934462/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=22
ednevis,8 hours ago,MacBook Pro mid 2012,S$350,Lightly used,https://carousell.sg/p/macbook-pro-mid-2012-1267818919/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=23
folksclub,4 hours ago,MacBook Pro 13inch Touchbar | 2020,"S$1,220",Like new,https://carousell.sg/p/macbook-pro-13inch-touchbar-2020-1267859727/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=26
jkmon,7 hours ago,Macbook pro 2015 13inch i5 8gb 128gb,S$350,Well used,https://carousell.sg/p/macbook-pro-2015-13inch-i5-8gb-128gb-1267830449/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=27
ultimateharish,24 hours ago,MacBook Air,S$350,Lightly used,https://carousell.sg/p/macbook-air-1267712942/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=28
barkiny,7 hours ago,MacBook Pro 13 inch 2017,S$540,Lightly used,https://carousell.sg/p/macbook-pro-13-inch-2017-1267830533/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=29
jloh22,12 hours ago,MacBook Air,"S$1,450",Brand new,https://carousell.sg/p/macbook-air-1267762396/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=30
starstorex,10 hours ago,MacBook Air 2018 256gb 16gb ram,S$450,Lightly used,https://carousell.sg/p/macbook-air-2018-256gb-16gb-ram-1267790033/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=31
aidaeape,5 hours ago,MacBook Air 11-Inch + MacBook Sleeve,S$300,Lightly used,https://carousell.sg/p/macbook-air-11-inch-macbook-sleeve-1267851164/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=32
jisansh20,1 day ago,MacBook Pro,S$399,Like new,https://carousell.sg/p/macbook-pro-1267694941/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=33
usefulthings,18 hours ago,"2015 13"" MacBook Pro",S$308,Lightly used,https://carousell.sg/p/2015-13-macbook-pro-1267731308/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=34
khaliled,18 hours ago,MacBook Air 13 M2 - space gray,"S$1,300",Like new,https://carousell.sg/p/macbook-air-13-m2-space-gray-1267731862/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=35
moonfade,1 day ago,2022 MacBook Air 13inch M1 chip,S$850,Brand new,https://carousell.sg/p/2022-macbook-air-13inch-m1-chip-1267658838/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=36
sportsfreak,8 hours ago,Macbook Pro Retina 15” 2014,S$450,Well used,https://carousell.sg/p/macbook-pro-retina-15”-2014-1267809216/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=37
quazzz,9 hours ago,M1 macbook pro (16 inch),"S$1,800",Like new,https://carousell.sg/p/m1-macbook-pro-16-inch-1266722835/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=0
weloveshoppingyeah,10 hours ago,"Macbook Air M1, 256GB (Rose Gold)",S$839,Like new,https://carousell.sg/p/macbook-air-m1-256gb-rose-gold-1256626315/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=1
anthonychng,13 hours ago,Macbook Pro (early 2015),S$250,Well used,https://carousell.sg/p/macbook-pro-early-2015-1267753379/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=2
msmonsze,6 hours ago,2021 MacBook 16 Inch,"S$5,500",Like new,https://carousell.sg/p/2021-macbook-16-inch-1267834015/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=3
silvernotez,11 hours ago,"BNIB 15"" Macbook Air M2 - Midnight Blue","S$1,650",Brand new,https://carousell.sg/p/bnib-15-macbook-air-m2-midnight-blue-1256495678/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=4
016power,11 hours ago,2023 MacBook Pro 1TB M2 space grey,"S$3,300",Like new,https://carousell.sg/p/2023-macbook-pro-1tb-m2-space-grey-1266590958/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=5
coolxjack77,1 day ago,Macbook Air M1 8gb/256,S$799,Like new,https://carousell.sg/p/macbook-air-m1-8gb-256-1267666993/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=7
suetlee1991,13 hours ago,MacBook Pro 13inch,S$800,Well used,https://carousell.sg/p/macbook-pro-13inch-1267751684/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=8
nawinn,10 hours ago,"MacBook Air Retina, 13-inch, 2020",S$700,Lightly used,https://carousell.sg/p/macbook-air-retina-13-inch-2020-1267783436/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=9
supunsashika,4 hours ago,MacBook Pro 16 inch,"S$2,150",Lightly used,https://carousell.sg/p/macbook-pro-16-inch-1267865494/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=10
alauddinanik,1 day ago,MacBook Pro,S$550,Like new,https://carousell.sg/p/macbook-pro-1267657830/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=11
qualityfirstuser,12 hours ago,"MacBook Air 13 inch, bought early 2015",S$300,Well used,https://carousell.sg/p/macbook-air-13-inch-bought-early-2015-1267759327/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=12
amberknowels,7 hours ago,Christmas Sale 15” MacBook Pro 2018 i9,S$890,Lightly used,https://carousell.sg/p/christmas-sale-15”-macbook-pro-2018-i9-1267827962/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=13
tommeetssam,13 hours ago,MacBook Air M1 2020,S$700,Well used,https://carousell.sg/p/macbook-air-m1-2020-1267755195/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=XqOFFqV178vQLBJ6&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=14
thecoffeelife,14 hours ago,Applecare+ M1 Macbook Air 2020 8GB ram,S$980,Like new,https://carousell.sg/p/applecare-m1-macbook-air-2020-8gb-ram-1267748408/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=15
hrizdn,15 hours ago,Space Grey MacBook Air 13″ M2 chip,"S$1,485",Brand new,https://carousell.sg/p/space-grey-macbook-air-13″-m2-chip-1256777119/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=18
layleng82,1 day ago,MacBook Air,"S$1,000",Lightly used,https://carousell.sg/p/macbook-air-1267611627/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=19
gooodscery,1 day ago,"MacBook Air 13"" 2020",S$650,Lightly used,https://carousell.sg/p/macbook-air-13-2020-1267620476/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=20
brucewillis92,1 day ago,MacBook Pro 13inch,S$450,Lightly used,https://carousell.sg/p/macbook-pro-13inch-1267681346/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=21
mhd3115,6 hours ago,"Macbook Pro Spacegrey 14""","S$2,300",Like new,https://carousell.sg/p/macbook-pro-spacegrey-14-1267841699/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=22
philoozie,15 hours ago,MacBook Pro 2020 Intel processor 16gb ram good condition,"S$1,500",Lightly used,https://carousell.sg/p/macbook-pro-2020-intel-processor-16gb-ram-good-condition-1267739704/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=23
asihag70,23 hours ago,MacBook Air Core i7,S$639,Like new,https://carousell.sg/p/macbook-air-core-i7-1255051667/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=24
themender,6 hours ago,"Apple 2023 MacBook Pro 16 M2 Pro, 32GB RAM, 1TB SSD Space Grey","S$2,700",Like new,https://carousell.sg/p/apple-2023-macbook-pro-16-m2-pro-32gb-ram-1tb-ssd-space-grey-1267842951/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=25
trezzz,1 day ago,Macbook pro|13 inch|core i5 2.3Ghz| 2019,S$790,Like new,https://carousell.sg/p/macbook-pro-13-inch-core-i5-2-3ghz-2019-1264062987/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=26
totoro290990,2 days ago,MacBook Air m1 13inch,S$900,Like new,https://carousell.sg/p/macbook-air-m1-13inch-1267530877/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=27
roryng,2 days ago,MacBook Air M1 chip 256GB 16GB ram,S$830,Like new,https://carousell.sg/p/macbook-air-m1-chip-256gb-16gb-ram-1267493387/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=28
spradd,2 days ago,Apple MacBook Air Gold,S$749,Lightly used,https://carousell.sg/p/apple-macbook-air-gold-1267555617/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=30
itc_adm,1 day ago,Fast Speed Apple MacBook Air Slim & LightWeight Laptop + MS Office + SSD,S$380,Like new,https://carousell.sg/p/fast-speed-apple-macbook-air-slim-lightweight-laptop-ms-office-ssd-1267655345/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=32
the-godvader,1 day ago,MacBook Air M1,S$895,Lightly used,https://carousell.sg/p/macbook-air-m1-1267598688/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=33
filippop,8 hours ago,MacBook Air 11 2012 inc charging cable,S$200,Lightly used,https://carousell.sg/p/macbook-air-11-2012-inc-charging-cable-1267815632/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=34
themacvision,1 day ago,MacBook Air 13 inch M1 chip Like New,S$988,Like new,https://carousell.sg/p/macbook-air-13-inch-m1-chip-like-new-1264703651/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=35
kylbuyandsell,23 hours ago,MacBook Pro 13 Inch (2016),S$760,Well used,https://carousell.sg/p/macbook-pro-13-inch-2016-1267714402/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=36
ragaz,3 hours ago,"2018 Apple Macbook air 13.3inch (1.6 GHz dual core i5, 16gb RAM, 500GB HDD)",S$700,Lightly used,https://carousell.sg/p/2018-apple-macbook-air-13-3inch-1-6-ghz-dual-core-i5-16gb-ram-500gb-hdd-1267870712/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=37
heyheyhohoho,9 hours ago,"Apple MacBook Pro 14” M2 Max with 12C CPU, 38C GPU","S$3,888",Like new,https://carousell.sg/p/apple-macbook-pro-14”-m2-max-with-12c-cpu-38c-gpu-1267803888/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=siQHgZ_u4pllBkp-&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=38
