Name,Date,Title,Price,Condition,Link
lowerdeal,4 days ago,MacBook Air 13 inch i5/256GB,S$200,Well used,https://carousell.sg/p/macbook-air-13-inch-i5-256gb-1267044138/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=186
66.kjh66,4 days ago,MacBook Pro 2018 w Touchbar 256GB 16GB Ram,S$800,Lightly used,https://carousell.sg/p/macbook-pro-2018-w-touchbar-256gb-16gb-ram-1261405320/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=187
leejiawen709969,4 days ago,MacBook Air 13inch,S$850,Like new,https://carousell.sg/p/macbook-air-13inch-1267037541/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=188
gavanrr,5 days ago,MacBook Air M1,S$850,Lightly used,https://carousell.sg/p/macbook-air-m1-1241275908/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=189
xpandapaws,5 days ago,"16"" Macbook Pro 2019 Intel Model","S$1,200",Well used,https://carousell.sg/p/16-macbook-pro-2019-intel-model-1267034305/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=190
fast1,5 days ago,MacBook Air M1-Chip 2020,S$875,Like new,https://carousell.sg/p/macbook-air-m1-chip-2020-1263924069/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=191
muneshv,5 days ago,16” MacBook Pro with M2 Max in Space Grey,"S$5,000",Like new,https://carousell.sg/p/16”-macbook-pro-with-m2-max-in-space-grey-1263024402/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=193
donglai,4 days ago,MacBook 2020 i7 512G,"S$1,198",Like new,https://carousell.sg/p/macbook-2020-i7-512g-1261420991/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=194
gavin.kru,5 days ago,Macbook pro 14 m3 pro chip 1tb  with apple care,"S$3,500",Brand new,https://carousell.sg/p/macbook-pro-14-m3-pro-chip-1tb-with-apple-care-1264544403/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=195
dontwastetime321,5 days ago,MacBook Pro 14 M1 Max Apple Care April 2025,"S$2,400",Lightly used,https://carousell.sg/p/macbook-pro-14-m1-max-apple-care-april-2025-1264350664/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=197
drporkchopx,5 days ago,S> MINT MacBook Pro 16 inch 512GBSSD 16GB memory,"S$2,000",Like new,https://carousell.sg/p/s-mint-macbook-pro-16-inch-512gbssd-16gb-memory-1263051411/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=199
v1209,5 days ago,MacBook Bro,"S$1,150",Like new,https://carousell.sg/p/macbook-bro-1263635665/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=200
wearecommons,5 days ago,Brand New Apple Macbook Pro 14” 2023 M2 12-core CPU 18-core GPU 18GB Unified Memory 1TB SSD Storage in Silver,"S$3,000",Brand new,https://carousell.sg/p/brand-new-apple-macbook-pro-14”-2023-m2-12-core-cpu-18-core-gpu-18gb-unified-memory-1tb-ssd-storage-in-silver-1263480445/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=201
jfpradeep31262,5 days ago,"14"" MacBook Pro M2","S$3,000",Like new,https://carousell.sg/p/14-macbook-pro-m2-1264097238/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=202
odiliaswann,5 days ago,MacBook Pro 13 Inch 16GB 256GB Intel i5 2020 Space Grey Model with touchbar,S$950,Lightly used,https://carousell.sg/p/macbook-pro-13-inch-16gb-256gb-intel-i5-2020-space-grey-model-with-touchbar-1261248244/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=203
orlando_koh,5 days ago,"MacBook Pro 16-inch 2019 - Intel i9, 16GB RAM, 1TB SSD - Mint Condition with box & charger","S$1,000",Well used,https://carousell.sg/p/macbook-pro-16-inch-2019-intel-i9-16gb-ram-1tb-ssd-mint-condition-with-box-charger-1261115578/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=204
zhancakede82627,5 days ago,Macbook air 2018 13'3 icnh,S$790,Like new,https://carousell.sg/p/macbook-air-2018-13-3-icnh-1264528805/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=205
maxxxxxuteng,5 days ago,MacBook Air m2,"S$1,300",Lightly used,https://carousell.sg/p/macbook-air-m2-1263847534/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=206
ccap240779,5 days ago,Apple Macbook Pro 15-inch 2009 Model DUAL BOOT Mac OSX + Windows 10 Pro,S$150,Heavily used,https://carousell.sg/p/apple-macbook-pro-15-inch-2009-model-dual-boot-mac-osx-windows-10-pro-1267016022/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=207
